time,{Stimuli}.stimuli.w_desired,{Stimuli}.stimuli.LoadTorque_Nm,{Controller}.ctrl.V,{Drive}.drive.w
0.0,0.0,0.0,0.0,0.0
0.1,10.0,0.0,0.0,0.0
0.2,10.0,0.0,20.99999999999996,0.0
0.30000000000000004,10.0,0.0,41.00000000000003,32.61323485337857
0.4,10.0,0.0,-7.487793192094987,63.64578142163798
0.5,10.0,3.0,-117.88261069219661,-18.1423020943789
0.6,10.0,3.0,-53.419198151836845,-204.77219172465564
0.7,10.0,3.0,394.78817426050136,-77.13323348110639
0.7999999999999999,10.0,3.0,556.2907453983591,725.1755986158661
0.8999999999999999,10.0,3.0,-954.2913350430704,912.1133620355583
0.9999999999999999,10.0,3.0,-2777.211835456161,-1957.2219404408124
